Titre,Prix_CFA,Localisation,Nb_Chambres,Nb_Salles_Bain,Surface_m2,Description
Maison moderne 2 niveaux avec balcon et jardin,900000.0,Diamniadio Dakar,5.0,,200.0,"Vivez dans un cadre contemporain alliant confort et esthétique grâce à cette maison moderne prête à accueillir votre famille. Profitez d'espaces lumineux, d'un balcon agréable et d'un jardin soigné, parfaits pour vos moments de détente ou vos réceptions.
• Type : Maison individuelle
• Style : Moderne avec finitions soignées
• Étage : 2 niveaux pour un espace optimisé
• Balcon : Offrant une vue dégagée et un espace extérieur supplémentaire
• Jardin : Aménagé avec des plantations, idéal pour les activités en plein air
• Climatisation : Installée pour un confort optimal toute l'année
Cette maison est en excellent état, construite avec des matériaux durables et entretenue avec soin. Elle représente une opportunité rare sur le marché, alliant qualité et emplacement privilégié.
Ne laissez pas passer cette offre exceptionnelle ! Contactez-nous dès aujourd'hui pour découvrir votre futur chez-vous."
Villa a construire a vendre a Nguerigne,65000000.0,Nguering Thiès,2.0,,300.0,"Villa à construire
Construction 6/8 mois
2 chambres + 2 sdb
Terrain de 300 m2
Piscine 3x6
Local rangement extérieur de 12m2
Cuisine aménagée
Dressing
Climatisation
Volet roulant électrique
Belles prestations
Villa témoin à visiter
De nombreuses réalisations faites
Villa en résidence sécurisée
Nguerigne
(Possibilité d'ajouter une 3 chambres chambres avec un coût supplémentaire)
Possibilité d'agrandir le terrain à 500m2"
Bel appartements a Amitié 3 / Résidence Keur Aissatou,800000.0,Amitié Dakar,,2.0,,"A louer
Résidence keur Aissatou Sicap amitié 3
Immeuble R+ 5
Parking securisé
Groupe électrogène
Gardiennage
Caméra 24h24
(F3) deux grande chambre avec salle de bain
Cuisine équipé four micro-ondes machine à laver
Tres spacieuse
F4 : nous consulter"
Mamelles À vendre 1000m2,480000000.0,Mamelles Dakar,,,0.0,"À vendre aux mamelles un terrain dune superficie de 1001m2 bail, idéal pour un investissement situé derrière le terminus 7 Dakar dem dik mamelles Mbackiou faye . Le terrain qu'il vous faut pour réaliser une promotion immobilière"
Appartement 3 chambres vue MER - Corniche Almadies,2000000.0,Almadies Dakar,3.0,,275.0,"Dans une petite résidence neuve aux almadies :
Un appartement type 3 chambres + salon très haut de gamme situé au 1er étage d'une petit immeuble neuf sur la Corniche des Almadies avec :
Vue sur mer
Système de sécurité par capteurs (volumétriques et contacts portes)
Porte blindée
Sécurité 24h/24
Groupe électrogène et surpresseur
Disponibilité immédiate"
Appartement de type F3 à louer au mamelle cité mbackiou Faye,450000.0,Dakar Dakar,2.0,,,"Magnifique appartement de type F3 à louer au mamelle cité mbackiou Faye.
Caractéristiques
2 chambres chacune avec une salle de bain
Un salon avec accès balcon
Toilette visiteur
Cuisine équipée avec des placards de rangements
Buanderie
Commodités
Gardiennage h24
Ascenseur
Caméra de surveillance
Prix 450 mille
Conditions 4 mois"
Appartement F3 au 3e étage (ascenseur)aux maristes,325000.0,Hann maristes Dakar,,,,"C'est un appartement au 3 étage, de deux chambres, salon 2 toilettes et un balcon dans la chambre parentale. Immeuble avec ascenseur
X3: caution + commission d'agence + mois de loyer
Enregistrement du contrat aux impôts et domaines + mutation du compteur d'eau.
À Hann mariste 2 côté pharmacie moussa"
Appartements Haut Standing de type F4 Cité Keur Gorgui,850000.0,Cité keur gorgui Dakar,3.0,,,"Les appartements F4 se distinguent par leurs volumes généreux et leur confort haut de gamme.
Conçus pour répondre aux attentes des familles modernes, ils allient élégance, fonctionnalité et sécurité.
Caractéristiques :
• 3 chambres climatisées dont 2 avec salle de bain attenante
• Toilettes visiteurs
• Grand salon lumineux et spacieux
• Cuisine moderne entièrement équipée (rangement, four, micro-ondes, gazinière, hotte, lave-linge)
Sécurité & confort :
• Porte d'entrée électronique
• Caméra de vidéosurveillance
• Environnement paisible et sécurisé
Atouts :
• Finitions raffinées
• Excellent éclairage naturel
• Ambiance conviviale et familiale.
• ⁠Cadre calme et résidentiel
• ⁠Condition 3 mois
• ⁠Usage mixte prend bureau & habitation
• ⁠Prix 850.000 FCFA TTC."
Appartement vue sur mer haut plateau,3500000.0,Plateau Dakar,3.0,3.0,300.0,"Dans une résidence d'exception au Haut-Plateau :
Un appartement type 3 chambres + 2 salons, situé dans une résidence sécurisée comprenant :
• Double salon spacieux et lumineux
• Chambre parentale avec dressing et salle de bain privative
• 2 chambres enfants + 2 salles de bain
• Cuisine équipée, buanderie et WC visiteurs
Commodités :
• Piscine chauffée et salle de sport
• Ascenseur, gardiennage 24h/24
**Produit rare**
📩 Contactez-nous pour plus d'informations ou programmer une visite."
Ref_2905_GL Appartements à louer aux Maristes,400000.0,Hann maristes Dakar,,3.0,,"Composés de 3 grandes chambres, 2 salles de bain, cuisine, grand salon, espace familial"
Appartements Meublés à louer au Palazzo Suit,1100000.0,Point-e Dakar,3.0,2.0,122.0,"Point E est une zone urbaine très prisée par rapport aux autres zones urbaines de Dakar. Elle se distingue par sa prestance et l'existence de toutes les commodités pour y vivre avec sa famille ou même y installer votre entreprise. Habité autrefois par les militaires français, le quartier s'est transformé en un véritable hub du haut standing. Situé à quelques minutes du centre-ville et de la corniche de Dakar, impossible de ne pas trouver d'activités de divertissement en famille ou entre collègues.
Alors, qu'attendez-vous pour vivre au cœur de l'un des quartiers les plus prisés de Dakar ?
L'immeuble de Palazzo Suit vous propose un appartement F4 de 123 m² :
Espaces lumineux et fonctionnels ;
Equipements de haute qualité importés de la Turquie,
Sécurité h24 à l'extérieur comme à l'intérieur ;
3 chambres ;
1 salon ;
2 salles de bain + 1 WC visiteur ;
2 Balcons ;
Cuisine semi-équipée ;
Nb :
Les prix sont en TTC ;
Nous ne prenons que 2 mois lors de la signature du contrat."
F4 à vendre au Point E,,Point-e Dakar,,,,"AUBI SA vous propose des f4 dans une belle residence appelee ALYA, au Point E
Composition:
-Trois chambres + Salon cuisine entièrement équipée avec possibilité avec vue sur mer pour les appartements qui sont a partir du 11e étage.
Superficie allant de 212 à 250 m2
Merci nous contacter pour plus de details."
Villa R+2 à louer sur la VDN 3,1300000.0,Cambérène Dakar,10.0,,,"Villa R+2 à louer sur la VDN 3 en première position composée de 8 chambres avec une salle d'eau dans chaque chambre, 2 salons dont un avec une Kitchenette, 1 cuisine équipée, un garage, des WC visiteurs. Idéale pour des bureaux. Ref : AN2911"
Villa à vendre Saly,69500000.0,Saly Thiès,2.0,2.0,150.0,"Propriétaire dans le besoin vend sa villa R+1 a Saly Niakh Niakhal .
Au RDC 2 chambres + salon + 2 salles de bain + cuisine +1 garage fermé pour 2 voitures . + toilettes gardien
A l étage ( 1er) 3 chambres + salon + 2 salles de bain
Belle Terrasse aménagée
Bail en cours
Quartier calme a 400 metres environ de la plage."
Appartements haut standings sis aux almadies (vefa),65000000.0,Almadies Dakar,,1.0,54.0,"Opportunité à saisir !!!
Investissez dans votre avenir et devenez propriétaire dans notre tout nouveau bijou au cœur des almadies à des prix fous défiant toutes concurrences.
Waw meun na nek!!!
Imaginez votre appartement neuf ,conçu selon vos désirs ,dans une résidence moderne et bien situé et proches de toutes les commodités(écoles bilingue eab ,commerces ,loisirs Ect...) ,à partir du montant affiché.
Et les prix varient selon la surface de l'appartement.
Les prix sont à 1million/m2 .
Les f2 font 54m2 ,les f3 121m2 .
Avec nos facilités de paiements abordables ,ce programme immobilier de luxe vous donne la possibilité d'être propriétaire dans le quartier le plus prisé de Dakar.
Réservez des maintenant...
Pour plus d'infos,nous consulter.
Nb:vente vefa"
Villa plain-pied à Sacré-Cœur 1,900000.0,Sacré-cœur Dakar,2.0,1.0,150.0,"À louer - Villa plain-pied à Sacré-Cœur 1 (quartier résidentiel et prisé)
Située dans un environnement calme et recherché, à proximité immédiate de l'école I.P.G, cette belle villa plain-pied offre confort et fonctionnalité.
Caractéristiques :
• Terrain : 400 m²
• Surface habitable : env. 150 m²
• Grand séjour lumineux
• Cuisine meublée
• 3 chambres, dont 1 chambre principale avec salle de douche
• 1 salle de bains
• 1 toilette séparée
• Climatisation dans le salon et la chambre principale
• Grand garage (capacité 2 voitures)
• Toilette visiteur dans la cour
• Cour avant
• Très grande cour arrière
📍 Quartier Sacré-Cœur 1 - Résidentiel, sécurisé et prisé"
